Date,Instagram_Minutes,YouTube_Minutes,WhatsApp_Minutes,LinkedIn_Minutes,Reels_Watched,Videos_Watched,Messages_Sent,Posts_Liked,Study_Minutes
2026-08-22,127,226,96,2,133,35,189,93,168
2026-08-23,64,211,125,5,49,70,414,33,67
2026-08-24,166,170,179,2,113,58,373,71,135
2026-08-25,64,82,14,56,79,21,44,21,144
2026-08-26,32,209,96,8,39,63,264,9,306
2026-08-27,143,170,146,29,193,28,263,108,110
2026-08-28,46,208,84,47,34,31,126,16,154
2026-08-29,78,80,30,0,69,23,65,20,11
2026-08-30,130,226,46,20,102,45,72,40,93
2026-08-31,124,170,74,22,89,26,202,54,115
2026-09-01,108,166,163,0,80,73,426,34,156
2026-09-02,45,135,133,51,52,28,270,22,168
2026-09-03,125,45,174,28,113,10,558,43,284
2026-09-04,113,106,73,25,146,31,112,52,284
2026-09-05,115,267,142,1,139,63,424,55,76
2026-09-06,76,216,110,18,74,53,375,33,124
2026-09-07,95,46,159,70,81,15,301,35,106
2026-09-08,150,52,142,7,202,14,360,129,183
2026-09-09,63,119,39,34,46,49,85,22,250
2026-09-10,59,35,78,12,63,6,173,31,323
2026-09-11,104,74,85,22,138,26,158,40,114
2026-09-12,98,180,29,18,65,51,51,28,111
2026-09-13,224,61,71,11,248,13,137,105,106
2026-09-14,101,170,68,64,131,48,135,79,122
2026-09-15,105,170,121,22,86,74,321,36,80
2026-09-16,56,121,125,29,41,38,338,20,355
2026-09-17,83,166,107,70,83,45,184,31,189
2026-09-18,52,163,139,9,36,45,327,22,207
2026-09-19,99,299,107,4,65,67,289,37,180
2026-09-20,200,290,112,23,242,99,249,96,162
